transactionId,lineNo,category,amountTHB,tier,date,winningCampaign,multiplier,milliPoints
TX90001,1,FRESH,600,GOLD,2026-09-27,C4,5,120000
TX90001,2,GROCERY,250,GOLD,2026-09-27,C4,5,50000
TX90002,1,FRESH,400,GOLD,2026-09-12,C1,3,48000
TX90002,2,HOME,300,GOLD,2026-09-12,C2,2,24000
TX90003,1,FRESH,500,GOLD,2026-09-08,C2,2,40000
TX90004,1,GROCERY,1000,PLATINUM,2026-09-18,C3,2.5,100000
TX90004,2,HEALTH,260,PLATINUM,2026-09-18,C3,2.5,26000
TX90005,1,ELECTRONICS,990,PLATINUM,2026-09-26,C4,5,198000
TX90006,1,HOME,749,SILVER,2026-09-14,C5,2,59920
TX90007,1,FRESH,137,SILVER,2026-09-06,C1,3,16440
TX90007,2,FRESH,89,SILVER,2026-09-06,C1,3,10680
TX90007,3,GROCERY,47,SILVER,2026-09-06,BASE,1,1880
TX90008,1,HOME,1290,PLATINUM,2026-09-25,C4,5,258000
TX90008,2,FASHION,890,PLATINUM,2026-09-25,C4,5,178000
TX90008,3,FRESH,355,PLATINUM,2026-09-25,C4,5,71000
TX90009,1,GROCERY,480,GOLD,2026-09-16,BASE,1,19200
TX90010,1,FRESH,220,SILVER,2026-09-20,C1,3,26400
TX90010,2,HOME,180,SILVER,2026-09-20,C5,2,14400
TX90011,1,HEALTH,24,GOLD,2026-09-28,C4,5,4800
TX90012,1,FRESH,310,PLATINUM,2026-09-29,C3,2.5,31000
TX90012,2,GROCERY,12,PLATINUM,2026-09-29,C3,2.5,1200
TX90013,1,HOME,1290,PLATINUM,2026-09-29,C3,2.5,129000
TX90013,2,HOME,780,PLATINUM,2026-09-29,C3,2.5,78000
TX90013,3,HOME,45,PLATINUM,2026-09-29,C3,2.5,4500
TX90013,4,FRESH,129,PLATINUM,2026-09-29,C3,2.5,12900
TX90014,1,FRESH,559,SILVER,2026-09-06,C1,3,67080
TX90014,2,HOME,780,SILVER,2026-09-06,BASE,1,31200
TX90014,3,GROCERY,990,SILVER,2026-09-06,BASE,1,39600
TX90015,1,FASHION,1120,PLATINUM,2026-09-09,C3,2.5,112000
TX90016,1,HEALTH,890,PLATINUM,2026-09-18,C3,2.5,89000
TX90016,2,HOME,299,PLATINUM,2026-09-18,C3,2.5,29900
TX90017,1,GROCERY,499,PLATINUM,2026-09-01,C3,2.5,49900
TX90018,1,FASHION,699,SILVER,2026-09-03,BASE,1,27960
TX90018,2,HEALTH,890,SILVER,2026-09-03,BASE,1,35600
TX90018,3,GROCERY,699,SILVER,2026-09-03,BASE,1,27960
