transactionId,type,originalTransactionId,date,time,storeId,memberId,tier,lineNo,category,amountTHB
TX90001,SALE,,2026-09-27,11:20,S003,M1001,GOLD,1,FRESH,600
TX90001,SALE,,2026-09-27,11:20,S003,M1001,GOLD,2,GROCERY,250
TX90002,SALE,,2026-09-12,10:05,S001,M1001,GOLD,1,FRESH,400
TX90002,SALE,,2026-09-12,10:05,S001,M1001,GOLD,2,HOME,300
TX90003,SALE,,2026-09-08,18:42,S002,M1001,GOLD,1,FRESH,500
TX90004,SALE,,2026-09-18,12:30,S004,M1007,PLATINUM,1,GROCERY,1000
TX90004,SALE,,2026-09-18,12:30,S004,M1007,PLATINUM,2,HEALTH,260
TX90005,SALE,,2026-09-26,16:15,S005,M1007,PLATINUM,1,ELECTRONICS,990
TX90006,SALE,,2026-09-14,09:12,S006,M1002,SILVER,1,HOME,749
TX90007,SALE,,2026-09-06,14:48,S007,M1004,SILVER,1,FRESH,137
TX90007,SALE,,2026-09-06,14:48,S007,M1004,SILVER,2,FRESH,89
TX90007,SALE,,2026-09-06,14:48,S007,M1004,SILVER,3,GROCERY,47
TX90008,SALE,,2026-09-25,19:55,S008,M1003,PLATINUM,1,HOME,1290
TX90008,SALE,,2026-09-25,19:55,S008,M1003,PLATINUM,2,FASHION,890
TX90008,SALE,,2026-09-25,19:55,S008,M1003,PLATINUM,3,FRESH,355
TX90009,SALE,,2026-09-16,08:40,S009,M1005,GOLD,1,GROCERY,480
TX90010,SALE,,2026-09-20,13:05,S010,M1006,SILVER,1,FRESH,220
TX90010,SALE,,2026-09-20,13:05,S010,M1006,SILVER,2,HOME,180
TX90011,SALE,,2026-09-28,20:10,S001,M1008,GOLD,1,HEALTH,24
TX90012,SALE,,2026-09-29,11:35,S002,M1003,PLATINUM,1,FRESH,310
TX90012,SALE,,2026-09-29,11:35,S002,M1003,PLATINUM,2,GROCERY,12
TX90013,SALE,,2026-09-29,09:16,S002,M1003,PLATINUM,1,HOME,1290
TX90013,SALE,,2026-09-29,09:16,S002,M1003,PLATINUM,2,HOME,780
TX90013,SALE,,2026-09-29,09:16,S002,M1003,PLATINUM,3,HOME,45
TX90013,SALE,,2026-09-29,09:16,S002,M1003,PLATINUM,4,FRESH,129
TX90014,SALE,,2026-09-06,19:08,S007,M1006,SILVER,1,FRESH,559
TX90014,SALE,,2026-09-06,19:08,S007,M1006,SILVER,2,HOME,780
TX90014,SALE,,2026-09-06,19:08,S007,M1006,SILVER,3,GROCERY,990
TX90015,SALE,,2026-09-09,09:14,S006,M1007,PLATINUM,1,FASHION,1120
TX90016,SALE,,2026-09-18,15:39,S009,M1003,PLATINUM,1,HEALTH,890
TX90016,SALE,,2026-09-18,15:39,S009,M1003,PLATINUM,2,HOME,299
TX90017,SALE,,2026-09-01,08:24,S005,M1007,PLATINUM,1,GROCERY,499
TX90018,SALE,,2026-09-03,16:53,S006,M1004,SILVER,1,FASHION,699
TX90018,SALE,,2026-09-03,16:53,S006,M1004,SILVER,2,HEALTH,890
TX90018,SALE,,2026-09-03,16:53,S006,M1004,SILVER,3,GROCERY,699
TX90019,SALE,,2026-09-29,20:32,S005,M1001,GOLD,1,FASHION,890
TX90019,SALE,,2026-09-29,20:32,S005,M1001,GOLD,2,ELECTRONICS,780
TX90020,SALE,,2026-09-18,11:49,S004,M1006,SILVER,1,HEALTH,499
TX90021,SALE,,2026-09-17,16:14,S006,M1005,GOLD,1,GROCERY,95
TX90022,SALE,,2026-09-05,19:51,S005,M1005,GOLD,1,FRESH,219
TX90023,SALE,,2026-09-08,11:21,S002,M1008,GOLD,1,HEALTH,499
TX90023,SALE,,2026-09-08,11:21,S002,M1008,GOLD,2,HEALTH,299
TX90023,SALE,,2026-09-08,11:21,S002,M1008,GOLD,3,HOME,129
TX90024,SALE,,2026-09-16,08:33,S009,M1002,SILVER,1,HEALTH,349
TX90025,SALE,,2026-09-02,19:41,S006,M1004,SILVER,1,HOME,559
TX90026,SALE,,2026-09-07,09:30,S004,M1006,SILVER,1,GROCERY,95
TX90027,SALE,,2026-09-12,17:49,S006,M1007,PLATINUM,1,HEALTH,890
TX90028,SALE,,2026-09-13,12:11,S005,M1001,GOLD,1,HOME,449
TX90029,SALE,,2026-09-02,09:30,S005,M1002,SILVER,1,GROCERY,780
TX90029,SALE,,2026-09-02,09:30,S005,M1002,SILVER,2,HOME,189
TX90029,SALE,,2026-09-02,09:30,S005,M1002,SILVER,3,FASHION,129
TX90029,SALE,,2026-09-02,09:30,S005,M1002,SILVER,4,HOME,89
TX90030,SALE,,2026-09-25,12:19,S006,M1005,GOLD,1,HOME,620
TX90030,SALE,,2026-09-25,12:19,S006,M1005,GOLD,2,FRESH,1120
TX90030,SALE,,2026-09-25,12:19,S006,M1005,GOLD,3,HOME,259
TX90031,SALE,,2026-09-30,09:42,S001,M1004,SILVER,1,FRESH,449
TX90031,SALE,,2026-09-30,09:42,S001,M1004,SILVER,2,GROCERY,129
TX90032,SALE,,2026-09-18,20:00,S003,M1002,SILVER,1,FASHION,449
TX90032,SALE,,2026-09-18,20:00,S003,M1002,SILVER,2,HOME,1120
TX90033,SALE,,2026-09-04,13:41,S009,M1004,SILVER,1,HOME,219
TX90034,SALE,,2026-09-29,13:03,S008,M1002,SILVER,1,FASHION,699
TX90034,SALE,,2026-09-29,13:03,S008,M1002,SILVER,2,GROCERY,990
TX90034,SALE,,2026-09-29,13:03,S008,M1002,SILVER,3,GROCERY,499
TX90035,SALE,,2026-09-12,19:19,S007,M1006,SILVER,1,FRESH,95
TX90035,SALE,,2026-09-12,19:19,S007,M1006,SILVER,2,HOME,780
TX90035,SALE,,2026-09-12,19:19,S007,M1006,SILVER,3,HOME,1120
TX90035,SALE,,2026-09-12,19:19,S007,M1006,SILVER,4,HEALTH,890
TX90036,SALE,,2026-09-07,13:11,S009,M1007,PLATINUM,1,GROCERY,59
TX90036,SALE,,2026-09-07,13:11,S009,M1007,PLATINUM,2,HEALTH,449
TX90037,SALE,,2026-09-15,20:03,S003,M1005,GOLD,1,GROCERY,59
TX90037,SALE,,2026-09-15,20:03,S003,M1005,GOLD,2,FASHION,349
TX90038,SALE,,2026-09-01,20:46,S004,M1006,SILVER,1,ELECTRONICS,449
TX90038,SALE,,2026-09-01,20:46,S004,M1006,SILVER,2,FASHION,219
TX90038,SALE,,2026-09-01,20:46,S004,M1006,SILVER,3,GROCERY,299
