parcelId,merchantId,riderId,codAmountTHB,recordedAmountTHB,deliveredAt,recordedAt
TEX-2026-004001,M-100,R-005,560,560,2026-09-15T09:12:00+07:00,2026-09-15T09:15:00+07:00
TEX-2026-004002,M-100,R-005,1200,1200,2026-09-15T09:58:00+07:00,2026-09-15T10:00:00+07:00
TEX-2026-004003,M-113,R-005,560,560,2026-09-15T10:41:00+07:00,2026-09-15T10:45:00+07:00
TEX-2026-004004,M-100,R-005,560,560,2026-09-15T11:26:00+07:00,2026-09-15T11:28:00+07:00
TEX-2026-004005,M-121,R-005,780,780,2026-09-15T13:05:00+07:00,2026-09-15T13:10:00+07:00
TEX-2026-004006,M-100,R-005,780,780,2026-09-15T14:33:00+07:00,2026-09-15T14:36:00+07:00
TEX-2026-004007,M-113,R-005,1200,1200,2026-09-15T16:02:00+07:00,2026-09-15T16:04:00+07:00
TEX-2026-004008,M-121,R-009,299,299,2026-09-15T09:35:00+07:00,2026-09-15T09:39:00+07:00
TEX-2026-004009,M-100,R-009,560,560,2026-09-15T10:50:00+07:00,2026-09-15T10:53:00+07:00
TEX-2026-004010,M-100,R-009,1200,1200,2026-09-15T12:18:00+07:00,2026-09-15T12:20:00+07:00
TEX-2026-004011,M-113,R-009,780,780,2026-09-15T15:07:00+07:00,2026-09-15T15:13:00+07:00
TEX-2026-004012,M-121,R-009,95,95,2026-09-15T17:44:00+07:00,2026-09-15T17:47:00+07:00
TEX-2026-004013,M-100,R-017,150,30,2026-09-15T09:20:00+07:00,2026-09-15T09:24:00+07:00
TEX-2026-004014,M-100,R-017,780,780,2026-09-15T10:15:00+07:00,2026-09-15T10:17:00+07:00
TEX-2026-004015,M-113,R-017,450,450,2026-09-15T12:40:00+07:00,2026-09-15T12:43:00+07:00
TEX-2026-004016,M-121,R-017,299,299,2026-09-15T14:55:00+07:00,2026-09-15T15:00:00+07:00
TEX-2026-004017,M-100,R-017,150,150,2026-09-15T16:30:00+07:00,2026-09-15T16:32:00+07:00
TEX-2026-004018,M-113,R-023,1200,,2026-09-15T09:48:00+07:00,
TEX-2026-004019,M-100,R-023,780,780,2026-09-15T11:11:00+07:00,2026-09-15T11:14:00+07:00
TEX-2026-004020,M-121,R-023,780,780,2026-09-15T13:52:00+07:00,2026-09-15T13:56:00+07:00
TEX-2026-004021,M-100,R-023,95,95,2026-09-15T15:39:00+07:00,2026-09-15T15:41:00+07:00
TEX-2026-004022,M-100,R-031,1200,1200,2026-09-15T09:05:00+07:00,2026-09-15T09:08:00+07:00
TEX-2026-004023,M-113,R-031,150,150,2026-09-15T10:28:00+07:00,2026-09-15T10:30:00+07:00
TEX-2026-004024,M-121,R-031,560,560,2026-09-15T12:03:00+07:00,2026-09-15T12:07:00+07:00
TEX-2026-004025,M-100,R-031,1200,1200,2026-09-15T14:19:00+07:00,2026-09-15T14:22:00+07:00
TEX-2026-004026,M-113,R-031,150,150,2026-09-15T17:02:00+07:00,2026-09-15T17:04:00+07:00
TEX-2026-004027,M-113,R-005,450,450,2026-09-14T20:40:00+07:00,2026-09-14T21:05:00+07:00
TEX-2026-004028,M-121,R-009,320,320,2026-09-15T19:52:00+07:00,2026-09-15T19:58:00+07:00
TEX-2026-004029,M-100,R-017,199,199,2026-09-15T20:00:00+07:00,2026-09-15T20:04:00+07:00
TEX-2026-004030,M-113,R-023,640,640,2026-09-15T21:15:00+07:00,2026-09-15T21:40:00+07:00
TEX-2026-004031,M-121,R-031,875,875,2026-09-16T07:30:00+07:00,2026-09-16T07:35:00+07:00
